"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 22 08:56:34 GMT 2025","Sun Jun 22 08:56:36 GMT 2025","1398","LMS system","Authentification","Authorization","","","User login with wrong email or password",""
"passed","Sun Jun 22 08:56:45 GMT 2025","Sun Jun 22 08:56:45 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Sun Jun 22 08:56:45 GMT 2025","Sun Jun 22 08:56:45 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Sun Jun 22 08:56:35 GMT 2025","Sun Jun 22 08:56:36 GMT 2025","1343","LMS system","Authentification","Authorization","","","Navigation from login page to registration page",""
"passed","Sun Jun 22 08:56:43 GMT 2025","Sun Jun 22 08:56:44 GMT 2025","1831","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sun Jun 22 08:56:36 GMT 2025","Sun Jun 22 08:56:38 GMT 2025","1628","LMS system","Authentification","Registration","","","Registration with correct email, username and password",""
"passed","Sun Jun 22 08:56:40 GMT 2025","Sun Jun 22 08:56:44 GMT 2025","4340","LMS system","Courses","Courses","","","Edit course",""
"passed","Sun Jun 22 08:56:30 GMT 2025","Sun Jun 22 08:56:32 GMT 2025","1817","LMS system","Authentification","Authorization","","","User login with wrong email or password",""
"passed","Sun Jun 22 08:56:45 GMT 2025","Sun Jun 22 08:56:45 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Sun Jun 22 08:56:30 GMT 2025","Sun Jun 22 08:56:34 GMT 2025","3747","LMS system","Authentification","Authorization","","","User login with correct email and password",""
"passed","Sun Jun 22 08:56:32 GMT 2025","Sun Jun 22 08:56:34 GMT 2025","1899","LMS system","Authentification","Authorization","","","User login with wrong email or password",""
"passed","Sun Jun 22 08:56:38 GMT 2025","Sun Jun 22 08:56:39 GMT 2025","1445","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sun Jun 22 08:56:39 GMT 2025","Sun Jun 22 08:56:42 GMT 2025","2698","LMS system","Courses","Courses","","","Create courses ",""
"passed","Sun Jun 22 08:56:45 GMT 2025","Sun Jun 22 08:56:45 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
