"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 21 11:38:41 GMT 2025","Sat Jun 21 11:38:43 GMT 2025","1814","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sat Jun 21 11:38:43 GMT 2025","Sat Jun 21 11:38:43 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Sat Jun 21 11:38:33 GMT 2025","Sat Jun 21 11:38:34 GMT 2025","1319","LMS system","Authentification","Authorization","","","Navigation from login page to registration page",""
"passed","Sat Jun 21 11:38:43 GMT 2025","Sat Jun 21 11:38:43 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Sat Jun 21 11:38:43 GMT 2025","Sat Jun 21 11:38:43 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Sat Jun 21 11:38:29 GMT 2025","Sat Jun 21 11:38:30 GMT 2025","1751","LMS system","Authentification","Authorization","","","User login with wrong email or password",""
"passed","Sat Jun 21 11:38:29 GMT 2025","Sat Jun 21 11:38:32 GMT 2025","3302","LMS system","Authentification","Authorization","","","User login with correct email and password",""
"passed","Sat Jun 21 11:38:43 GMT 2025","Sat Jun 21 11:38:43 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Sat Jun 21 11:38:32 GMT 2025","Sat Jun 21 11:38:34 GMT 2025","1481","LMS system","Authentification","Authorization","","","User login with wrong email or password",""
"passed","Sat Jun 21 11:38:31 GMT 2025","Sat Jun 21 11:38:33 GMT 2025","1685","LMS system","Authentification","Authorization","","","User login with wrong email or password",""
"passed","Sat Jun 21 11:38:36 GMT 2025","Sat Jun 21 11:38:38 GMT 2025","1440","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sat Jun 21 11:38:38 GMT 2025","Sat Jun 21 11:38:42 GMT 2025","4192","LMS system","Courses","Courses","","","Edit course",""
"passed","Sat Jun 21 11:38:34 GMT 2025","Sat Jun 21 11:38:36 GMT 2025","1626","LMS system","Authentification","Registration","","","Registration with correct email, username and password",""
"passed","Sat Jun 21 11:38:38 GMT 2025","Sat Jun 21 11:38:40 GMT 2025","2508","LMS system","Courses","Courses","","","Create courses ",""
