"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 21 11:09:20 GMT 2025","Sat Jun 21 11:09:25 GMT 2025","4263","LMS system","Courses","Courses","","","Edit course",""
"passed","Sat Jun 21 11:09:13 GMT 2025","Sat Jun 21 11:09:15 GMT 2025","1696","LMS system","Authentification","Authorization","","","User login with wrong email or password",""
"passed","Sat Jun 21 11:09:25 GMT 2025","Sat Jun 21 11:09:25 GMT 2025","1","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Sat Jun 21 11:09:11 GMT 2025","Sat Jun 21 11:09:15 GMT 2025","3285","LMS system","Authentification","Authorization","","","User login with correct email and password",""
"passed","Sat Jun 21 11:09:20 GMT 2025","Sat Jun 21 11:09:23 GMT 2025","2830","LMS system","Courses","Courses","","","Create courses ",""
"passed","Sat Jun 21 11:09:25 GMT 2025","Sat Jun 21 11:09:25 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Sat Jun 21 11:09:23 GMT 2025","Sat Jun 21 11:09:25 GMT 2025","1839","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sat Jun 21 11:09:15 GMT 2025","Sat Jun 21 11:09:17 GMT 2025","1349","LMS system","Authentification","Authorization","","","Navigation from login page to registration page",""
"passed","Sat Jun 21 11:09:17 GMT 2025","Sat Jun 21 11:09:18 GMT 2025","1611","LMS system","Authentification","Registration","","","Registration with correct email, username and password",""
"passed","Sat Jun 21 11:09:25 GMT 2025","Sat Jun 21 11:09:25 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Sat Jun 21 11:09:25 GMT 2025","Sat Jun 21 11:09:25 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Sat Jun 21 11:09:15 GMT 2025","Sat Jun 21 11:09:16 GMT 2025","1469","LMS system","Authentification","Authorization","","","User login with wrong email or password",""
"passed","Sat Jun 21 11:09:11 GMT 2025","Sat Jun 21 11:09:13 GMT 2025","1746","LMS system","Authentification","Authorization","","","User login with wrong email or password",""
"passed","Sat Jun 21 11:09:19 GMT 2025","Sat Jun 21 11:09:20 GMT 2025","1404","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
